name,method,time to repair,number of changes
./out/supercat01/74,SHAP,28.98,4
./out/supercat01/74,IG,16.13,4
./out/supercat01/74,UNI,132.84,4
./out/supercat01/6,SHAP,29.12,4
./out/supercat01/6,UNI,363.17,4
./out/supercat01/28,SHAP,28.94,5
./out/supercat01/28,UNI,46.18,5
./out/supercat01/17,SHAP,28.99,4
./out/supercat01/17,UNI,112.16,4
./out/supercat01/1,SHAP,25.63,6
./out/supercat01/1,IG,32.49,5
./out/supercat01/1,UNI,41.9,5
./out/supercat01/10,SHAP,29.05,4
./out/supercat01/10,UNI,296.2,4
./out/supercat01/19,SHAP,29.0,5
./out/supercat01/19,UNI,46.33,5
./out/supercat01/26,SHAP,28.84,6
./out/supercat01/26,UNI,42.09,5
./out/supercat01/8,SHAP,29.01,6
./out/supercat01/8,UNI,41.92,5
./out/supercat01/21,SHAP,28.97,5
./out/supercat01/21,UNI,954.77,5
./out/supercat01/75,SHAP,29.01,5
./out/supercat01/75,IG,16.23,5
./out/supercat01/75,UNI,56.98,5
./out/supercat01/81,SHAP,29.01,5
./out/supercat01/81,IG,16.13,5
./out/supercat01/81,UNI,57.13,5
./out/supercat01/86,SHAP,29.16,5
./out/supercat01/86,IG,16.95,5
./out/supercat01/86,UNI,57.28,5
./out/supercat01/72,SHAP,29.16,5
./out/supercat01/72,IG,16.26,5
./out/supercat01/72,UNI,57.59,5
./out/supercat01/44,SHAP,28.88,6
./out/supercat01/44,UNI,51.66,5
./out/supercat01/43,SHAP,28.83,4
./out/supercat01/43,UNI,362.87,4
./out/supercat01/88,SHAP,29.25,5
./out/supercat01/88,IG,15.93,5
./out/supercat01/88,UNI,659.72,5
./out/supercat01/38,SHAP,28.86,5
./out/supercat01/38,UNI,46.3,5
./out/supercat01/36,SHAP,28.86,4
./out/supercat01/36,UNI,294.37,4
./out/supercat01/31,SHAP,28.87,4
./out/supercat01/31,UNI,295.58,4
./out/supercat01/91,SHAP,29.14,5
./out/supercat01/91,IG,15.95,5
./out/supercat01/91,UNI,56.98,5
./out/supercat01/62,SHAP,29.03,5
./out/supercat01/62,IG,15.77,5
./out/supercat01/62,UNI,785.2,5
./out/supercat01/96,SHAP,28.6,4
./out/supercat01/96,IG,16.04,4
./out/supercat01/96,UNI,291.24,4
./out/supercat01/100,SHAP,29.0,4
./out/supercat01/100,IG,16.18,4
./out/supercat01/100,UNI,289.44,4
./out/supercat01/54,SHAP,29.09,5
./out/supercat01/54,UNI,954.8,5
./out/supercat01/98,SHAP,29.46,5
./out/supercat01/98,IG,16.13,5
./out/supercat01/98,UNI,45.74,5
./out/supercat01/53,SHAP,29.17,5
./out/supercat01/53,UNI,963.39,5
./out/supercat01/30,SHAP,28.96,5
./out/supercat01/30,UNI,953.33,5
./out/supercat01/37,SHAP,29.03,6
./out/supercat01/37,UNI,51.51,5
./out/supercat01/39,SHAP,28.96,5
./out/supercat01/39,UNI,959.0,5
./out/supercat01/99,SHAP,30.27,4
./out/supercat01/99,IG,16.27,4
./out/supercat01/99,UNI,290.99,4
./out/supercat01/55,SHAP,29.24,5
./out/supercat01/55,UNI,966.51,5
./out/supercat01/97,SHAP,28.93,4
./out/supercat01/97,IG,16.19,4
./out/supercat01/97,UNI,111.88,4
./out/supercat01/63,SHAP,29.2,4
./out/supercat01/63,IG,16.28,4
./out/supercat01/63,UNI,132.16,4
./out/supercat01/64,SHAP,29.19,5
./out/supercat01/64,IG,16.21,5
./out/supercat01/64,UNI,57.18,5
./out/supercat01/90,SHAP,29.21,6
./out/supercat01/90,IG,15.84,5
./out/supercat01/90,UNI,63.39,5
./out/supercat01/46,SHAP,29.04,6
./out/supercat01/46,UNI,51.4,5
./out/supercat01/79,SHAP,29.11,5
./out/supercat01/79,IG,16.39,5
./out/supercat01/79,UNI,63.62,5
./out/supercat01/83,SHAP,29.11,5
./out/supercat01/83,IG,16.22,5
./out/supercat01/83,UNI,775.95,5
./out/supercat01/77,SHAP,21.68,4
./out/supercat01/77,IG,16.02,4
./out/supercat01/77,UNI,131.69,4
./out/supercat01/48,SHAP,28.98,5
./out/supercat01/48,UNI,46.12,5
./out/supercat01/70,SHAP,29.07,4
./out/supercat01/70,IG,16.35,4
./out/supercat01/70,UNI,302.14,4
./out/supercat01/84,SHAP,29.21,6
./out/supercat01/84,IG,15.59,5
./out/supercat01/84,UNI,63.47,5
./out/supercat01/24,SHAP,28.86,5
./out/supercat01/24,UNI,46.31,5
./out/supercat01/23,SHAP,28.89,6
./out/supercat01/23,UNI,51.42,5
./out/supercat01/4,SHAP,29.11,4
./out/supercat01/4,UNI,363.97,4
./out/supercat01/15,SHAP,28.91,5
./out/supercat01/15,UNI,953.5,5
./out/supercat01/3,SHAP,29.74,5
./out/supercat01/3,UNI,46.25,5
./out/supercat01/12,SHAP,25.94,6
./out/supercat01/12,UNI,41.77,5
./out/supercat01/85,SHAP,29.1,6
./out/supercat01/85,IG,16.21,5
./out/supercat01/85,UNI,76.93,5
./out/supercat01/71,SHAP,29.4,5
./out/supercat01/71,IG,16.08,5
./out/supercat01/71,UNI,787.02,5
./out/supercat01/76,SHAP,29.32,4
./out/supercat01/76,IG,15.92,4
./out/supercat01/76,UNI,132.7,4
./out/supercat01/82,SHAP,29.5,4
./out/supercat01/82,IG,16.58,4
./out/supercat01/82,UNI,364.47,4
./out/supercat01/49,SHAP,29.01,4
./out/supercat01/49,UNI,362.84,4
./out/supercat01/40,SHAP,28.97,5
./out/supercat01/40,UNI,744.01,5
./out/supercat01/47,SHAP,28.78,6
./out/supercat01/47,UNI,51.49,5
./out/supercat01/2,SHAP,21.68,6
./out/supercat01/2,UNI,63.28,5
./out/supercat01/13,SHAP,28.85,5
./out/supercat01/13,UNI,734.04,5
./out/supercat01/5,SHAP,29.11,4
./out/supercat01/5,UNI,112.22,4
./out/supercat01/22,SHAP,28.82,4
./out/supercat01/22,UNI,363.1,4
./out/supercat01/25,SHAP,29.19,5
./out/supercat01/25,UNI,969.16,5
./out/supercat02/61,SHAP,34.17,5
./out/supercat02/61,IG,54.51,5
./out/supercat02/61,UNI,45.69,5
./out/supercat02/59,SHAP,400.98,4
./out/supercat02/59,IG,280.36,4
./out/supercat02/59,UNI,287.57,4
./out/supercat02/92,SHAP,27.77,5
./out/supercat02/92,IG,412.9,5
./out/supercat02/92,UNI,410.92,5
./out/supercat02/66,SHAP,139.7,5
./out/supercat02/66,IG,83.94,5
./out/supercat02/66,UNI,63.08,5
./out/supercat02/50,SHAP,1125.5,5
./out/supercat02/50,IG,803.0,5
./out/supercat02/50,UNI,970.76,5
./out/supercat02/57,SHAP,58.46,5
./out/supercat02/57,IG,54.4,5
./out/supercat02/57,UNI,45.74,5
./out/supercat02/35,SHAP,8.69,4
./out/supercat02/35,IG,154.81,4
./out/supercat02/35,UNI,112.8,4
./out/supercat02/69,SHAP,28.16,6
./out/supercat02/69,IG,35.26,5
./out/supercat02/69,UNI,40.99,5
./out/supercat02/56,SHAP,414.53,4
./out/supercat02/56,IG,152.91,4
./out/supercat02/56,UNI,111.61,4
./out/supercat02/58,SHAP,56.93,5
./out/supercat02/58,IG,54.15,5
./out/supercat02/58,UNI,46.7,5
./out/supercat02/93,SHAP,27.67,4
./out/supercat02/93,IG,,4
./out/supercat02/93,UNI,310.13,4
./out/supercat02/94,SHAP,27.57,5
./out/supercat02/94,IG,42.69,5
./out/supercat02/94,UNI,46.32,5
./out/supercat02/60,SHAP,882.79,5
./out/supercat02/60,IG,1661.08,5
./out/supercat02/60,UNI,952.6,5
./out/supercat02/34,SHAP,8.66,5
./out/supercat02/34,IG,1657.07,5
