name,method,time to repair,number of changes
./out/mario0/20,SHAP,348.83,1
./out/mario0/20,IG,650.36,1
./out/mario0/20,UNI,341.4,1
./out/mario0/18,IG,1579.49,1
./out/mario0/18,UNI,2774.89,1
./out/mario0/11,SHAP,2992.24,1
./out/mario0/11,IG,2602.06,1
./out/mario0/11,UNI,2995.03,1
./out/mario0/7,IG,784.13,1
./out/mario0/7,UNI,772.23,1
./out/mario0/89,SHAP,1943.5,1
./out/mario0/89,UNI,2259.38,1
./out/mario0/73,SHAP,142.51,1
./out/mario0/73,IG,179.18,1
./out/mario0/73,UNI,141.93,1
./out/mario0/74,SHAP,507.69,1
./out/mario0/74,IG,918.75,1
./out/mario0/74,UNI,522.37,1
./out/mario0/6,IG,3814.79,1
./out/mario0/6,UNI,3814.98,1
./out/mario0/28,SHAP,110.44,1
./out/mario0/28,IG,111.73,1
./out/mario0/28,UNI,110.65,1
./out/mario0/21,SHAP,140.26,1
./out/mario0/21,IG,180.2,1
./out/mario0/21,UNI,140.33,1
./out/mario0/75,SHAP,2397.39,1
./out/mario0/75,UNI,2481.42,1
./out/mario0/86,SHAP,1683.3,1
./out/mario0/86,IG,1667.04,1
./out/mario0/86,UNI,1684.24,1
./out/mario0/72,SHAP,121.38,1
./out/mario0/72,IG,127.68,1
./out/mario0/72,UNI,122.99,1
./out/mario0/88,SHAP,716.48,1
./out/mario0/88,IG,721.04,1
./out/mario0/88,UNI,716.15,1
./out/mario0/30,SHAP,126.36,1
./out/mario0/30,IG,163.41,1
./out/mario0/30,UNI,126.07,1
./out/mario0/52,SHAP,446.33,1
./out/mario0/52,UNI,618.35,1
./out/mario0/83,SHAP,1286.93,1
./out/mario0/83,IG,2328.35,1
./out/mario0/83,UNI,2345.77,1
./out/mario0/15,IG,1919.4,1
./out/mario0/15,UNI,1915.53,1
./out/mario0/3,SHAP,1542.92,1
./out/mario0/3,IG,2694.32,1
./out/mario0/3,UNI,2695.67,1
./out/mario0/12,IG,1306.03,1
./out/mario0/12,UNI,923.77,1
./out/mario0/85,SHAP,2398.49,1
./out/mario0/85,IG,1196.29,1
./out/mario0/85,UNI,1224.73,1
./out/mario0/78,SHAP,2861.53,1
./out/mario0/78,UNI,2861.25,1
./out/mario0/2,SHAP,1524.04,1
./out/mario0/2,IG,1572.25,1
./out/mario0/2,UNI,1542.73,1
./out/mario0/5,SHAP,439.66,2
./out/mario0/5,IG,514.52,1
./out/mario0/5,UNI,444.07,1
./out/mario0/25,SHAP,2195.0,1
./out/mario0/25,UNI,2502.7,1
./out/mario1/56,SHAP,565.52,1
./out/mario1/56,IG,559.19,1
./out/mario1/56,UNI,568.58,1
./out/mario1/51,SHAP,80.93,1
./out/mario1/51,IG,78.21,1
./out/mario1/51,UNI,81.1,1
./out/mario1/60,IG,948.04,1
./out/mario1/60,UNI,213.27,1
./out/mario1/11,IG,1307.56,1
./out/mario1/11,UNI,2404.0,1
./out/mario1/74,SHAP,2138.54,1
