name,method,time to repair,number of changes
./out/cave00/93,SHAP,0.8,2
./out/cave00/93,IG,0.77,2
./out/cave00/93,UNI,1.0,2
./out/cave00/94,SHAP,0.81,2
./out/cave00/94,IG,1.1,2
./out/cave00/94,UNI,1.26,2
./out/cave00/60,SHAP,0.84,2
./out/cave00/60,IG,0.8,2
./out/cave00/60,UNI,1.57,2
./out/cave00/34,SHAP,0.88,1
./out/cave00/34,IG,0.83,1
./out/cave00/34,UNI,1.3,1
./out/cave00/33,SHAP,0.94,1
./out/cave00/33,IG,0.82,1
./out/cave00/33,UNI,0.96,1
./out/cave00/20,SHAP,0.97,1
./out/cave00/20,IG,0.97,1
./out/cave00/20,UNI,1.09,1
./out/cave00/18,SHAP,1.04,1
./out/cave00/18,IG,0.9,1
./out/cave00/18,UNI,2.25,1
./out/cave00/27,SHAP,5.41,7
./out/cave00/27,IG,5.3,7
./out/cave00/27,UNI,8.67,7
./out/cave00/9,SHAP,1.04,3
./out/cave00/9,IG,1.1,3
./out/cave00/9,UNI,1.16,3
./out/cave00/11,SHAP,0.96,5
./out/cave00/11,IG,1.13,4
./out/cave00/11,UNI,1.79,4
./out/cave00/7,SHAP,2.49,4
./out/cave00/7,IG,1.1,4
./out/cave00/7,UNI,2.13,4
./out/cave00/29,SHAP,0.89,1
./out/cave00/29,IG,0.95,1
./out/cave00/29,UNI,2.55,1
./out/cave00/16,SHAP,0.86,4
./out/cave00/16,IG,1.18,4
./out/cave00/16,UNI,1.75,4
./out/cave00/42,SHAP,1.24,4
./out/cave00/42,IG,0.95,4
./out/cave00/42,UNI,3.22,4
./out/cave00/89,SHAP,4.24,7
./out/cave00/89,IG,1.54,7
./out/cave00/89,UNI,3.79,7
./out/cave00/45,SHAP,0.91,3
./out/cave00/45,IG,0.88,3
./out/cave00/45,UNI,1.22,3
./out/cave00/73,SHAP,0.83,2
./out/cave00/73,IG,0.8,2
./out/cave00/73,UNI,1.39,2
./out/cave00/87,SHAP,39.66,10
./out/cave00/87,IG,26.49,10
./out/cave00/87,UNI,38.03,10
./out/cave00/80,SHAP,0.81,2
./out/cave00/80,IG,0.84,2
./out/cave00/80,UNI,0.92,2
./out/cave00/74,SHAP,0.8,1
./out/cave00/74,IG,0.8,1
./out/cave00/74,UNI,0.99,1
./out/cave00/6,SHAP,0.79,1
./out/cave00/6,IG,0.88,1
./out/cave00/6,UNI,1.21,1
./out/cave00/28,SHAP,5.43,2
./out/cave00/28,IG,1.25,2
./out/cave00/28,UNI,1.95,2
./out/cave00/17,SHAP,0.85,2
./out/cave00/17,IG,0.83,2
./out/cave00/17,UNI,1.19,2
./out/cave00/1,SHAP,1.28,5
./out/cave00/1,IG,1.28,5
./out/cave00/1,UNI,1.66,5
./out/cave00/10,SHAP,0.81,1
./out/cave00/10,IG,0.82,1
./out/cave00/10,UNI,0.92,1
./out/cave00/19,SHAP,0.89,2
./out/cave00/19,IG,0.92,2
./out/cave00/19,UNI,0.82,2
./out/cave00/26,SHAP,1.06,3
./out/cave00/26,IG,1.33,3
./out/cave00/26,UNI,1.23,3
./out/cave00/8,SHAP,0.88,3
./out/cave00/8,IG,1.36,3
./out/cave00/8,UNI,1.78,3
./out/cave00/21,SHAP,0.89,2
./out/cave00/21,IG,0.84,2
./out/cave00/21,UNI,0.92,2
./out/cave00/75,SHAP,0.82,3
./out/cave00/75,IG,0.82,3
./out/cave00/75,UNI,1.39,3
./out/cave00/81,SHAP,0.79,1
./out/cave00/81,IG,0.78,1
./out/cave00/81,UNI,0.91,1
./out/cave00/86,SHAP,3.19,4
./out/cave00/86,IG,0.97,4
./out/cave00/86,UNI,3.45,4
./out/cave00/72,SHAP,0.82,1
./out/cave00/72,IG,0.83,1
./out/cave00/72,UNI,1.02,1
./out/cave00/44,SHAP,1.19,3
./out/cave00/44,IG,0.81,3
./out/cave00/44,UNI,1.3,3
./out/cave00/43,SHAP,0.93,1
./out/cave00/43,IG,0.86,1
./out/cave00/43,UNI,1.27,1
./out/cave00/88,SHAP,0.8,1
./out/cave00/88,IG,0.78,1
./out/cave00/88,UNI,0.98,1
./out/cave00/38,SHAP,0.89,3
./out/cave00/38,IG,0.85,3
./out/cave00/38,UNI,1.33,3
./out/cave00/36,SHAP,1.28,2
./out/cave00/36,IG,0.91,2
./out/cave00/36,UNI,0.96,2
./out/cave00/31,SHAP,8.6,7
./out/cave00/31,IG,5.33,7
./out/cave00/31,UNI,8.41,7
./out/cave00/91,SHAP,2.21,6
./out/cave00/91,IG,2.12,6
./out/cave00/91,UNI,3.39,6
./out/cave00/65,SHAP,0.81,1
./out/cave00/65,IG,0.82,1
./out/cave00/65,UNI,0.97,1
./out/cave00/62,SHAP,0.81,2
./out/cave00/62,IG,0.86,2
./out/cave00/62,UNI,0.84,2
./out/cave00/96,SHAP,1.0,6
./out/cave00/96,IG,2.07,6
./out/cave00/96,UNI,3.34,6
./out/cave00/100,SHAP,0.86,4
./out/cave00/100,IG,1.15,4
./out/cave00/100,UNI,1.31,4
./out/cave00/54,SHAP,0.89,1
./out/cave00/54,IG,0.87,1
./out/cave00/54,UNI,2.26,1
./out/cave00/98,SHAP,0.9,4
./out/cave00/98,IG,0.88,4
./out/cave00/98,UNI,1.12,4
./out/cave00/53,SHAP,0.97,1
./out/cave00/53,IG,0.91,1
./out/cave00/53,UNI,1.06,1
./out/cave00/30,SHAP,0.83,2
./out/cave00/30,IG,0.8,2
./out/cave00/30,UNI,0.99,2
./out/cave00/37,SHAP,1.11,1
./out/cave00/37,IG,0.82,1
./out/cave00/37,UNI,0.98,1
./out/cave00/39,SHAP,2.07,5
./out/cave00/39,IG,1.24,5
./out/cave00/39,UNI,1.82,5
./out/cave00/99,SHAP,0.84,1
./out/cave00/99,IG,0.81,1
./out/cave00/99,UNI,1.51,1
./out/cave00/52,SHAP,6.85,9
./out/cave00/52,IG,5.34,8
./out/cave00/52,UNI,21.25,8
./out/cave00/55,SHAP,0.84,2
./out/cave00/55,IG,0.81,2
./out/cave00/55,UNI,1.29,2
./out/cave00/97,SHAP,1.03,2
./out/cave00/97,IG,0.8,2
./out/cave00/97,UNI,1.26,2
./out/cave00/63,SHAP,0.8,2
./out/cave00/63,IG,0.83,2
./out/cave00/63,UNI,1.27,2
./out/cave00/64,SHAP,2.54,7
./out/cave00/64,IG,1.14,5
./out/cave00/64,UNI,2.03,5
./out/cave00/90,SHAP,0.86,3
./out/cave00/90,IG,1.31,3
./out/cave00/90,UNI,1.66,3
./out/cave00/46,SHAP,0.87,2
./out/cave00/46,IG,0.91,2
./out/cave00/46,UNI,1.97,2
./out/cave00/79,SHAP,0.79,1
./out/cave00/79,IG,0.81,1
./out/cave00/79,UNI,1.19,1
./out/cave00/41,SHAP,1.13,4
./out/cave00/41,IG,2.09,4
./out/cave00/41,UNI,2.4,4
./out/cave00/83,SHAP,0.81,2
./out/cave00/83,IG,0.79,2
./out/cave00/83,UNI,0.96,2
./out/cave00/77,SHAP,4.84,3
./out/cave00/77,IG,4.84,3
./out/cave00/77,UNI,8.05,3
./out/cave00/48,SHAP,1.08,4
./out/cave00/48,IG,1.05,4
./out/cave00/48,UNI,3.08,4
./out/cave00/70,SHAP,0.87,4
./out/cave00/70,IG,0.85,4
./out/cave00/70,UNI,1.08,4
./out/cave00/84,SHAP,0.83,1
./out/cave00/84,IG,0.79,1
./out/cave00/84,UNI,1.19,1
./out/cave00/24,SHAP,0.84,1
./out/cave00/24,IG,0.82,1
./out/cave00/24,UNI,1.28,1
./out/cave00/23,SHAP,5.66,7
./out/cave00/23,IG,5.57,7
./out/cave00/23,UNI,8.63,7
./out/cave00/4,SHAP,0.88,1
./out/cave00/4,IG,0.85,1
./out/cave00/4,UNI,0.97,1
./out/cave00/15,SHAP,3.13,6
./out/cave00/15,IG,1.88,4
./out/cave00/15,UNI,3.72,4
./out/cave00/3,SHAP,1.02,3
./out/cave00/3,IG,0.94,3
./out/cave00/3,UNI,1.18,3
./out/cave00/12,SHAP,0.86,1
./out/cave00/12,IG,0.9,1
./out/cave00/12,UNI,1.03,1
./out/cave00/85,SHAP,0.81,1
./out/cave00/85,IG,0.8,1
./out/cave00/85,UNI,1.16,1
./out/cave00/71,SHAP,0.8,2
./out/cave00/71,IG,0.82,2
./out/cave00/71,UNI,0.93,2
./out/cave00/76,SHAP,5.39,7
./out/cave00/76,IG,3.3,7
./out/cave00/76,UNI,4.21,7
./out/cave00/82,SHAP,0.9,3
./out/cave00/82,IG,0.95,3
./out/cave00/82,UNI,1.43,3
./out/cave00/49,SHAP,1.02,3
./out/cave00/49,IG,0.91,3
./out/cave00/49,UNI,1.13,3
./out/cave00/40,SHAP,8.31,7
./out/cave00/40,IG,5.47,7
./out/cave00/40,UNI,8.21,7
./out/cave00/47,SHAP,1.04,3
./out/cave00/47,IG,0.94,3
./out/cave00/47,UNI,1.68,3
./out/cave00/78,SHAP,1.01,5
./out/cave00/78,IG,6.07,5
./out/cave00/78,UNI,3.75,5
./out/cave00/2,SHAP,21.28,7
./out/cave00/2,IG,1.61,7
./out/cave00/2,UNI,3.21,7
./out/cave00/13,SHAP,0.82,1
./out/cave00/13,IG,0.84,1
./out/cave00/13,UNI,0.9,1
./out/cave00/5,SHAP,0.97,4
./out/cave00/5,IG,1.12,4
./out/cave00/5,UNI,1.75,4
./out/cave00/14,SHAP,2.33,3
./out/cave00/14,IG,1.03,3
./out/cave00/14,UNI,1.16,3
./out/cave00/22,SHAP,0.84,1
./out/cave00/22,IG,0.87,1
./out/cave00/22,UNI,1.2,1
./out/cave00/25,SHAP,0.87,1
./out/cave00/25,IG,0.86,1
./out/cave00/25,UNI,1.16,1
./out/cave01/61,SHAP,0.87,1
./out/cave01/61,IG,0.88,1
./out/cave01/61,UNI,2.32,1
./out/cave01/95,SHAP,0.8,1
./out/cave01/95,IG,0.82,1
./out/cave01/95,UNI,0.95,1
./out/cave01/59,SHAP,1.11,1
./out/cave01/59,IG,1.4,1
./out/cave01/59,UNI,1.45,1
./out/cave01/92,SHAP,0.79,1
./out/cave01/92,IG,0.78,1
./out/cave01/92,UNI,0.88,1
./out/cave01/66,SHAP,0.79,1
./out/cave01/66,IG,0.78,1
./out/cave01/66,UNI,0.9,1
./out/cave01/50,SHAP,0.84,2
./out/cave01/50,IG,1.13,2
./out/cave01/50,UNI,1.54,2
./out/cave01/68,SHAP,0.81,1
./out/cave01/68,IG,0.78,1
./out/cave01/68,UNI,0.9,1
./out/cave01/57,SHAP,1.01,7
./out/cave01/57,IG,16.12,7
./out/cave01/57,UNI,15.09,7
./out/cave01/32,SHAP,0.81,2
./out/cave01/32,IG,0.89,2
./out/cave01/32,UNI,1.41,2
./out/cave01/35,SHAP,0.92,1
./out/cave01/35,IG,0.9,1
./out/cave01/35,UNI,1.24,1
./out/cave01/69,SHAP,0.86,3
./out/cave01/69,IG,0.9,3
./out/cave01/69,UNI,1.09,3
./out/cave01/56,SHAP,0.79,2
./out/cave01/56,IG,0.78,2
./out/cave01/56,UNI,0.88,2
./out/cave01/51,SHAP,0.98,3
./out/cave01/51,IG,0.81,3
./out/cave01/51,UNI,1.17,3
./out/cave01/58,SHAP,0.79,1
./out/cave01/58,IG,0.78,1
./out/cave01/58,UNI,0.9,1
./out/cave01/67,SHAP,0.96,1
./out/cave01/67,IG,0.9,1
./out/cave01/67,UNI,1.25,1
./out/cave01/93,SHAP,0.91,1
./out/cave01/93,IG,0.91,1
./out/cave01/93,UNI,1.23,1
./out/cave01/94,SHAP,0.96,4
./out/cave01/94,IG,1.15,4
./out/cave01/94,UNI,1.66,4
./out/cave01/60,SHAP,0.81,2
./out/cave01/60,IG,0.88,2
./out/cave01/60,UNI,1.42,2
./out/cave01/34,SHAP,0.95,1
./out/cave01/34,IG,0.82,1
./out/cave01/34,UNI,0.95,1
./out/cave01/33,SHAP,0.79,1
./out/cave01/33,IG,0.77,1
./out/cave01/33,UNI,1.23,1
./out/cave01/20,SHAP,0.82,1
./out/cave01/20,IG,0.82,2
./out/cave01/20,UNI,1.14,1
./out/cave01/18,SHAP,3.23,3
./out/cave01/18,IG,4.84,3
./out/cave01/18,UNI,6.26,3
./out/cave01/27,SHAP,0.8,1
./out/cave01/27,IG,0.81,1
./out/cave01/27,UNI,1.02,1
./out/cave01/9,SHAP,0.94,3
./out/cave01/9,IG,0.88,3
./out/cave01/9,UNI,1.09,3
./out/cave01/11,SHAP,1.29,5
./out/cave01/11,IG,1.01,4
./out/cave01/11,UNI,1.68,4
./out/cave01/7,SHAP,0.92,6
./out/cave01/7,IG,0.95,6
./out/cave01/7,UNI,8.54,6
./out/cave01/29,SHAP,0.85,1
./out/cave01/29,IG,0.82,1
./out/cave01/29,UNI,1.14,1
./out/cave01/16,SHAP,1.86,4
./out/cave01/16,IG,2.14,4
./out/cave01/16,UNI,2.56,4
./out/cave01/42,SHAP,0.81,1
./out/cave01/42,IG,0.85,1
./out/cave01/42,UNI,1.28,1
./out/cave01/89,SHAP,3.09,6
./out/cave01/89,IG,2.07,6
./out/cave01/89,UNI,3.57,6
./out/cave01/45,SHAP,0.79,1
./out/cave01/45,IG,0.77,2
./out/cave01/45,UNI,0.9,1
./out/cave01/73,SHAP,0.78,2
./out/cave01/73,IG,0.84,2
./out/cave01/73,UNI,0.88,2
./out/cave01/87,SHAP,1.01,7
./out/cave01/87,IG,1.56,7
